book1,publisher1,100,2019/04/24,11.00
book2,publisher2,200,2019/04/24,22.00
book3,publisher3,300,2019/04/24,33.00
book4,publisher4,400,2019/04/30,44.00
book5,publisher5,500,2019/04/30,55.00
book6,publisher7,700,2019/04/30,77.00
book8,publisher9,900,2019/05/14,99.00
book10,publisher11,1100,2019/05/14,121.00
book11,publisher12,1200,2019/05/14,132.00
book9,publisher10,1000,2019/05/14,110.00
book7,publisher8,800,2019/05/14,88.00
book13,publisher14,1400,2019/05/14,154.00
book14,publisher15,1500,2019/05/14,165.00
book12,publisher13,1400,2019/05/14,154.00
book15,publisher15,400,2019/06/09,99.00
